Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Belgium,6,6,1.472220728328251,184.67047535507626,138.2582473122959,0.9811035535661611,0.6547877788543701
Belgium,6,7,1.4643845648571645,183.56999992852892,137.56619307949958,0.9813280953033171,1.3879578113555908
Belgium,6,8,1.4570555075063163,183.69736097516898,136.93306786940548,0.9813021771436977,2.4236690998077393
Belgium,7,3,1.624238625040264,201.47123890462527,153.23459798489725,0.9775088676799263,0.37116527557373047
Belgium,7,4,1.5533474717024967,192.7741156253071,146.3637758265703,0.9794087531322361,0.5430710315704346
Belgium,7,5,1.5198752426101378,189.79249973213848,143.15938569229016,0.9800407922670573,0.6107118129730225
Belgium,7,6,1.4728945648865333,184.7842068578898,138.32565938040244,0.9810802711976339,0.7646942138671875
Belgium,7,7,1.4623242056023091,183.37938852383488,137.288965196408,0.9813668514201676,1.6089484691619873
Belgium,7,8,1.4562308459865982,183.57928479768077,136.8271074016159,0.981326206426307,2.820861339569092
Belgium,8,3,1.6240945681636965,201.48064335125855,153.22100087339126,0.9775067679103369,0.34981703758239746
Belgium,8,4,1.5435858379366885,191.75905918128547,145.4785409188316,0.9796250295724789,0.5088448524475098
Belgium,8,5,1.5488402894515485,193.13059242112053,146.01874137863763,0.9793325282873867,0.44727587699890137
Belgium,8,6,1.46907039266632,185.08791590215895,138.16206737118227,0.9810180276222353,0.9330308437347412
Belgium,8,7,1.4548355816731429,182.77139351645445,136.62437472987898,0.981490203133352,1.8193111419677734
Belgium,8,8,1.4701866333772435,184.6337885848538,138.11804745275882,0.9811110607838284,2.3402926921844482
Belgium,9,3,1.624251905085921,201.52104468518903,153.2382228888542,0.977497746222907,0.3939785957336426
Belgium,9,4,1.5550726656656824,193.31866165837064,146.56366449169226,0.9792922570065095,0.558772087097168
Belgium,9,5,1.5162962806691407,189.90423659405184,142.83714289251586,0.9800172841123082,0.6698613166809082
Belgium,9,6,1.472828257265073,184.8762315005289,138.38576089338025,0.9810614220237716,0.965634822845459
Belgium,9,7,1.467614887439324,184.0046866781784,137.82769346667305,0.9812395618908515,1.6252858638763428
Belgium,9,8,1.439422102100927,181.98215874672186,135.3732632044156,0.9816497142467565,4.408514738082886
Belgium,10,3,1.61518029588512,199.98646684172124,152.26365546514836,0.9778391495936045,0.6775650978088379
Belgium,10,4,1.5457818923679825,192.4235966073759,145.71813888872217,0.979483566721649,0.5876121520996094
Belgium,10,5,1.5161154167120678,189.5697222257331,142.81086648068333,0.9800876208078783,0.6693174839019775
Belgium,10,6,1.4741837164894052,185.0066880796514,138.47438140787074,0.9810346848517878,1.0600082874298096
Belgium,10,7,1.4630523490247644,183.57985763025562,137.38052000546244,0.9813260898883875,2.296079397201538
Belgium,10,8,1.4424005033670673,182.11836473277148,135.5884332681041,0.9816222351341072,4.669998645782471
Belgium,11,3,1.6155825562638517,200.01053516988551,152.30330381260802,0.9778338151654888,0.7201251983642578
Belgium,11,4,1.546570706687502,192.72218246322788,145.81257840262438,0.97941984616217,0.5623071193695068
Belgium,11,5,1.513363364968411,189.46249071754943,142.52357395613237,0.9801101416041499,0.7393510341644287
Belgium,11,6,1.532829521318114,191.57893642177925,144.00843127971334,0.9796632887532143,0.9524345397949219
Belgium,11,7,1.4934566460312428,186.61736569172564,140.0932476499472,0.9807030213780342,1.9099323749542236
Belgium,11,8,1.4920627580524715,185.94817108504802,140.0022133490804,0.9808411680152694,3.2537524700164795
Belgium,12,3,1.6156735204147725,200.0118309545233,152.3087964232976,0.9778335279536696,0.6312911510467529
Belgium,12,4,1.5582386522278104,194.04456089537695,146.89733010888878,0.9791364525299793,0.5530009269714355
Belgium,12,5,1.5117781306782045,189.22445489348917,142.35968719236217,0.9801600884264914,0.7744059562683105
Belgium,12,6,1.5301360232324686,191.425935823447,143.78459864519306,0.9796957587790686,1.0300679206848145
Belgium,12,7,1.46182332842714,183.916082680268,137.30065002371063,0.981257625013443,2.1764211654663086
Belgium,12,8,1.48505879756888,185.0447141941325,139.39163626554696,0.9810268878216636,3.547571897506714
Belgium,13,3,1.6159679117125052,200.03844709350176,152.33938890372886,0.9778276280511151,0.6444559097290039
Belgium,13,4,1.559245613782244,194.08336699891638,146.9745368024875,0.9791281068805365,0.5654802322387695
Belgium,13,5,1.51250289400799,189.3406200428718,142.46455081126345,0.9801357214521049,0.8449475765228271
Belgium,13,6,1.530108222639256,191.4881676914873,143.8108744567566,0.9796825549647996,1.1175034046173096
Belgium,13,7,1.4627763544105366,183.95463415306162,137.33696412492793,0.9812497668438157,2.332608699798584
Belgium,13,8,1.49380739441338,186.3940898898715,140.47068069745248,0.9807491689689324,3.843609571456909
Belgium,14,3,1.6240977806432477,201.74368256330078,153.1390981484705,0.9774479983521286,0.4670565128326416
Belgium,14,4,1.5575787195467716,193.88760470889113,146.82273172631338,0.9791701905378829,0.6545357704162598
Belgium,14,5,1.5147446779953395,189.43536224226668,142.66852522179937,0.9801158371156933,0.9073374271392822
Belgium,14,6,1.5317464520197648,191.6077570953097,143.94295946834183,0.979657169481299,1.1899807453155518
